EventId  Status  RequestTime EndTime TurnaroundTime  Pad 
1  D 0  6  6  A 
418  L 2  8  6  A 
747  L 4  10  6  A 
173  L 6  12  6  A 
838  L 8  14  6  A 
678  A 2  16  14  B 
344  L 10  16  6  A 
228  L 12  18  6  A 
545  L 18  20  2  A 
712  L 20  22  2  A 
623  D 6  26  20  A 
527  L 26  28  2  A 
965  L 28  30  2  A 
570  D 34  38  4  A 
158  L 34  40  6  A 
765  L 36  42  6  A 
37  L 38  44  6  A 
54  L 40  46  6  A 
971  L 42  48  6  A 
687  L 44  50  6  A 
697  L 46  52  6  A 
117  L 48  54  6  A 
252  L 50  56  6  A 
73  L 52  58  6  A 
918  L 54  60  6  A 
143  L 56  62  6  A 
671  L 58  64  6  A 
804  L 60  66  6  A 
391  L 62  68  6  A 
448  L 64  70  6  A 
480  L 66  72  6  A 
205  L 68  74  6  A 
914  D 44  78  34  A 
118  L 70  80  10  A 
61  L 72  82  10  A 
674  L 74  84  10  A 
11  L 76  86  10  A 
550  L 80  88  8  A 
392  A 76  90  14  B 
777  D 50  92  42  A 
928  L 84  94  10  A 
788  L 86  96  10  A 
831  L 88  98  10  A 
292  L 90  100  10  A 
948  A 84  102  18  B 
920  L 92  102  10  A 
430  L 94  104  10  A 
96  L 96  106  10  A 
376  L 98  108  10  A 
841  L 100  110  10  A 
280  L 102  112  10  A 
683  A 96  114  18  B 
613  D 70  116  46  A 
394  L 104  118  14  A 
631  D 82  122  40  A 
900  A 108  126  18  B 
