EventId  Status  RequestTime EndTime TurnaroundTime  Pad 
1  D 0  4  4  A 
377  L 4  6  2  A 
307  L 6  8  2  A 
344  L 8  10  2  A 
668  L 10  12  2  A 
181  L 12  14  2  A 
523  L 14  16  2  A 
583  L 16  18  2  A 
545  L 18  20  2  A 
712  L 20  22  2  A 
678  D 2  26  24  A 
527  L 26  28  2  A 
965  L 28  30  2  A 
570  D 34  38  4  A 
158  L 34  40  6  A 
765  L 36  42  6  A 
37  L 38  44  6  A 
54  L 40  46  6  A 
971  L 42  48  6  A 
687  L 44  50  6  A 
697  L 46  52  6  A 
117  L 48  54  6  A 
252  L 50  56  6  A 
73  L 52  58  6  A 
708  L 54  60  6  A 
143  L 56  62  6  A 
671  L 58  64  6  A 
391  L 62  66  4  A 
243  L 64  68  4  A 
700  L 66  70  4  A 
672  L 70  72  2  A 
61  L 72  74  2  A 
352  L 74  76  2  A 
392  L 76  78  2  A 
48  L 78  80  2  A 
475  A 70  82  12  B 
550  L 80  82  2  A 
895  L 82  84  2  A 
948  L 84  86  2  A 
19  L 86  88  2  A 
914  D 44  92  48  A 
40  L 90  94  4  A 
656  L 92  96  4  A 
201  L 96  98  2  A 
777  D 50  102  52  A 
376  L 100  104  4  A 
841  L 102  106  4  A 
280  L 104  108  4  A 
544  L 106  110  4  A 
249  L 108  112  4  A 
453  L 110  114  4  A 
503  A 104  116  12  B 
401  L 112  116  4  A 
921  L 114  118  4  A 
480  L 116  120  4  A 
329  A 106  128  22  B 
